gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	cluster	norm.method	EndType
ORF1	unknown	1h	1	RK-13	0	0		cluster_1	viral_read.count	TSS
ORF1	unknown	2h	2	RK-13	0.0112113841389815	0.0017568401282561	0.156701447963739	cluster_1	viral_read.count	TSS
ORF1	unknown	4h	4	RK-13	0.00647474885605644	0.000593701769433788	0.0916949495081098	cluster_1	viral_read.count	TSS
ORF1	unknown	6h	6	RK-13	0.00205976167367639	0.000408248222043282	0.198201678990665	cluster_1	viral_read.count	TSS
ORF1	unknown	8h	8	RK-13	0.004242389476351	0.000410104615688138	0.0966683087383295	cluster_1	viral_read.count	TSS
ORF1	unknown	12h	12	RK-13	0.00270725870346968	0.000127691787714224	0.0471664520093964	cluster_1	viral_read.count	TSS
ORF1	unknown	18h	18	RK-13	0.00111613795111491	0.000168259829462018	0.15075182175639	cluster_1	viral_read.count	TSS
ORF1	unknown	24h	24	RK-13	0.000955048620281387	5.9202965794668e-05	0.0619894783756925	cluster_1	viral_read.count	TSS
ORF1	unknown	48h	48	RK-13	0.00161069034155031	9.78679231343797e-05	0.0607614763742736	cluster_1	viral_read.count	TSS
ORF2	unknown	1h	1	RK-13	0	0		cluster_2	viral_read.count	TSS
ORF2	unknown	2h	2	RK-13	0	0		cluster_2	viral_read.count	TSS
ORF2	unknown	4h	4	RK-13	0.000231817690795576	0.000204366629501068	0.881583406338411	cluster_2	viral_read.count	TSS
ORF2	unknown	6h	6	RK-13	0.00176490070072637	0.000197728881014189	0.112033997682029	cluster_2	viral_read.count	TSS
ORF2	unknown	8h	8	RK-13	0.00565898099548004	0.000438065005876128	0.0774105808494535	cluster_2	viral_read.count	TSS
ORF2	unknown	12h	12	RK-13	0.0044109464371024	0.000321112563821371	0.0727990168097153	cluster_2	viral_read.count	TSS
ORF2	unknown	18h	18	RK-13	0.000965716398777882	9.58621648112058e-05	0.099265338077017	cluster_2	viral_read.count	TSS
ORF2	unknown	24h	24	RK-13	0.000695002294810192	0.000135517825644205	0.194989033354509	cluster_2	viral_read.count	TSS
ORF2	unknown	48h	48	RK-13	0.00132872708140125	0.000168937562288365	0.127142409192268	cluster_2	viral_read.count	TSS
ORF3	L	1h	1	RK-13	0	0		cluster_2	viral_read.count	TSS
ORF3	L	2h	2	RK-13	0.00019782393669634	0.000342641109311351	1.73205080756888	cluster_2	viral_read.count	TSS
ORF3	L	4h	4	RK-13	0.00256522036998738	0.00109070090506839	0.425187994696049	cluster_2	viral_read.count	TSS
ORF3	L	6h	6	RK-13	0.0050345948787282	0.000638620282972901	0.126846409364764	cluster_2	viral_read.count	TSS
ORF3	L	8h	8	RK-13	0.00731911729729638	0.000872235301491035	0.119172198785943	cluster_2	viral_read.count	TSS
ORF3	L	12h	12	RK-13	0.00465467809366646	0.000236402031752342	0.0507880517181221	cluster_2	viral_read.count	TSS
ORF3	L	18h	18	RK-13	0.00155245034391774	5.10546053851546e-05	0.0328864659569814	cluster_2	viral_read.count	TSS
ORF3	L	24h	24	RK-13	0.00136280308105377	0.000238111268054225	0.174721697774641	cluster_2	viral_read.count	TSS
ORF3	L	48h	48	RK-13	0.000857306747788494	6.55116337973383e-05	0.0764156283224551	cluster_2	viral_read.count	TSS
ORF4	unknown	1h	1	RK-13	0	0		cluster_1	viral_read.count	TSS
ORF4	unknown	2h	2	RK-13	0.00320298674404053	0.0015139512775653	0.472668605445262	cluster_1	viral_read.count	TSS
ORF4	unknown	4h	4	RK-13	0.00340486689046924	0.000313283324452113	0.0920104469660894	cluster_1	viral_read.count	TSS
ORF4	unknown	6h	6	RK-13	0.00262875365071349	0.000459119860043131	0.17465305656105	cluster_1	viral_read.count	TSS
ORF4	unknown	8h	8	RK-13	0.00187665437657085	9.67911025644762e-05	0.051576413735458	cluster_1	viral_read.count	TSS
ORF4	unknown	12h	12	RK-13	0.000948275687080371	0.000189379936937557	0.199709788532737	cluster_1	viral_read.count	TSS
ORF4	unknown	18h	18	RK-13	0.000114557728463602	5.00872250513205e-05	0.437222575229698	cluster_1	viral_read.count	TSS
ORF4	unknown	24h	24	RK-13	0.00016294455752037	6.34879569692478e-05	0.389629196184176	cluster_1	viral_read.count	TSS
ORF4	unknown	48h	48	RK-13	0.000173267480459693	7.27749795498682e-07	0.00420015223611438	cluster_1	viral_read.count	TSS
ORF5	E	1h	1	RK-13	0	0		cluster_1	viral_read.count	TSS
ORF5	E	2h	2	RK-13	0.0905927504882305	0.00977138720742631	0.107860586578567	cluster_1	viral_read.count	TSS
ORF5	E	4h	4	RK-13	0.0671971018325709	0.00565573211856125	0.0841663102175618	cluster_1	viral_read.count	TSS
ORF5	E	6h	6	RK-13	0.010282938568695	0.00127104064744425	0.12360675296785	cluster_1	viral_read.count	TSS
ORF5	E	8h	8	RK-13	0.00735222650227568	0.000984753229135531	0.13393945750049	cluster_1	viral_read.count	TSS
ORF5	E	12h	12	RK-13	0.00387418435983147	0.000207935420294065	0.0536720509354156	cluster_1	viral_read.count	TSS
ORF5	E	18h	18	RK-13	0.000529971192177407	0.000142904369679637	0.26964554260489	cluster_1	viral_read.count	TSS
ORF5	E	24h	24	RK-13	0.000504679249050068	8.45249150748341e-05	0.167482445996999	cluster_1	viral_read.count	TSS
ORF5	E	48h	48	RK-13	0.000516792223209088	2.08668782051145e-05	0.0403776939125339	cluster_1	viral_read.count	TSS
ORF6	L	1h	1	RK-13	0.0333333333333333	0.0577350269189626	1.73205080756888	cluster_3	viral_read.count	TSS
ORF6	L	2h	2	RK-13	0	0		cluster_3	viral_read.count	TSS
ORF6	L	4h	4	RK-13	0	0		cluster_3	viral_read.count	TSS
ORF6	L	6h	6	RK-13	0.000449003748135915	4.74597373537467e-05	0.105700091704759	cluster_3	viral_read.count	TSS
ORF6	L	8h	8	RK-13	0.00280147990806946	0.000310140655416929	0.110706007394018	cluster_3	viral_read.count	TSS
ORF6	L	12h	12	RK-13	0.00473549991202036	0.000261188737537026	0.0551554729995955	cluster_3	viral_read.count	TSS
ORF6	L	18h	18	RK-13	0.00261985902852539	0.000161675040707884	0.0617113512397209	cluster_3	viral_read.count	TSS
ORF6	L	24h	24	RK-13	0.0102375618967222	0.000677082842877703	0.0661371183596445	cluster_3	viral_read.count	TSS
ORF6	L	48h	48	RK-13	0.0043516200365282	9.99580945739631e-06	0.00229703176598367	cluster_3	viral_read.count	TSS
ORF7	E	1h	1	RK-13	0	0		cluster_1	viral_read.count	TSS
ORF7	E	2h	2	RK-13	0.000501268027122679	0.000462117262421543	0.921896545195861	cluster_1	viral_read.count	TSS
ORF7	E	4h	4	RK-13	0.000291172803531809	0.000257230708221487	0.88342971974505	cluster_1	viral_read.count	TSS
ORF7	E	6h	6	RK-13	5.03448623068016e-05	8.71998594154396e-05	1.73205080756888	cluster_1	viral_read.count	TSS
ORF7	E	8h	8	RK-13	0.000187663363162949	4.99302276475279e-05	0.266062734920578	cluster_1	viral_read.count	TSS
ORF7	E	12h	12	RK-13	0.00014342970163722	3.65498584825668e-05	0.254827682588459	cluster_1	viral_read.count	TSS
ORF7	E	18h	18	RK-13	7.78634275480807e-06	1.34863412564734e-05	1.73205080756888	cluster_1	viral_read.count	TSS
ORF7	E	24h	24	RK-13	9.79096294120527e-06	1.69584452691915e-05	1.73205080756888	cluster_1	viral_read.count	TSS
ORF7	E	48h	48	RK-13	2.89636795458495e-05	4.09608284299686e-05	1.4142135623731	cluster_1	viral_read.count	TSS
ORF8	L	1h	1	RK-13	0	0		cluster_4	viral_read.count	TSS
ORF8	L	2h	2	RK-13	0	0		cluster_4	viral_read.count	TSS
ORF8	L	4h	4	RK-13	0.000592285838300272	0.000579389252998927	0.978225740905176	cluster_4	viral_read.count	TSS
ORF8	L	6h	6	RK-13	0.00287667755122941	0.000444572144242774	0.154543613709078	cluster_4	viral_read.count	TSS
ORF8	L	8h	8	RK-13	0.00427350479610921	0.000866020265034962	0.202648717236359	cluster_4	viral_read.count	TSS
ORF8	L	12h	12	RK-13	0.00363012984483973	0.00011573120223999	0.0318807335237617	cluster_4	viral_read.count	TSS
